File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\JobCommand.cs,34,26,18,0,8,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\PartCommand.cs,34,26,18,0,8,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\ReceiverCommand.cs,42,33,23,0,9,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Job Commands\CreateJobCommand.cs,45,33,23,3,12,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Job Commands\GetAllJobCommand.cs,28,24,15,1,4,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Job Commands\GetJobCommand.cs,57,44,30,6,13,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Job Commands\GetJobsCommands.cs,52,41,26,6,11,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Job Commands\RemoveAllJobsCommand.cs,42,35,21,4,7,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Job Commands\RemoveJobAtCommand.cs,35,28,19,3,7,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Job Commands\RemoveJobCommand.cs,46,36,22,6,9,0,1,9,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Part Commands\AddPartCommand.cs,40,33,23,3,7,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Part Commands\GetAllPartCommand.cs,33,26,16,3,7,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.Console\_Old\Commands\_Old\Part Commands\GetPartCommand.cs,61,47,33,6,14,0,0,0,0,0
